name,price,rating,nb_ratings,link,scrape_date
"ASUS TUF A17-TUF707RW-HX016W PC Portable Gamer 17"" Full HD 144 Hz (AMD Ryzen 7-6800HS, RTX 3070 Ti 8 Go TGP 140W, 16 Go RAM DDR5, 1 to PCIe SSD, Windows 11) Clavier Rétroéclairé AZERTY RGB 1 Zone",1299.99,4.0,5,https://www.amazon.fr/ASUS-TUF-A17-TUF707RW-HX016W-Portable-R%C3%A9tro%C3%A9clair%C3%A9/dp/B0BXQ1JRMS/ref=sr_1_11?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-11,2023-08-24 01:36:04
AORUS Gigabyte Ordinateur Portable 15.6'' FHD 240Hz Intel Core i7-11800H Gaming en AZERTY Clavier Français avec RTX 3060 RAM 16GB SSD 1TB Windows 11 Home OS 15P KD-72FR224SO,1495.0,4.0,1,https://www.amazon.fr/Gigabyte-AORUS-Ordinateur-Portable-i7-11800H/dp/B0B429QYBN/ref=sr_1_12?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-12,2023-08-24 01:36:04
ASUS PORTATIL Gaming TUF506 I5-11400H-16G-512SSD-RTX3060-15-FR,1435.4,4.4,9,https://www.amazon.fr/ASUS-PORTATIL-Gaming-TUF506-I5-11400H-16G-512SSD-RTX3060-15-FR/dp/B09MWFWRWG/ref=sr_1_13?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-13,2023-08-24 01:36:04
"Lenovo Legion 5 15ACH6H - Ordinateur Portable Gaming 15.6"" FHD 165Hz (AMD Ryzen 5 5600H,16Go de RAM,512Go SSD,NVIDIA GeForce RTX 3070,Windows 11 Home) Clavier AZERTY Rétroéclairé Français - Bleu/Noir",1742.62,4.3,24,https://www.amazon.fr/Lenovo-Ordinateur-Portable-R%C3%A9tro%C3%A9clair%C3%A9-Fran%C3%A7ais/dp/B09S61D3LL/ref=sr_1_14?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-14,2023-08-24 01:36:04
"Acer Nitro 5 AN515-57-52LR Ordinateur Portable Gaming 15,6'' FHD IPS 144 Hz, PC Portable Gamer (Intel Core i5-11400H, NVIDIA GeForce RTX 3060, RAM 16 Go, 512 Go SSD, Windows 11) - Laptop Noir",,4.3,339,https://www.amazon.fr/Acer-AN515-57-52LR-Ordinateur-Portable-i5-11400H/dp/B0BMB73X11/ref=sr_1_15?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-15,2023-08-24 01:36:04
"Lenovo IdeaPad Gaming 3 15ACH6 15.6'' FHD IPS 120Hz (AMD Ryzen 5 5600H, RAM 8Go extensible 16Go, SSD 512Go, NVIDIA GeForce RTX 3060, Windows 11) Clavier AZERTY rétroéclairé - Noir",,4.1,57,https://www.amazon.fr/Lenovo-IdeaPad-Ordinateur-Portable-GeForce/dp/B091CVFBFV/ref=sr_1_16?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-16,2023-08-24 01:36:04
"ASUS TUF A15-TUF506QM-HN098W PC Portable Gamer 15"" Full HD 144 Hz (AMD Ryzen 7-5800H, 16G RAM, 512GB MVMe M.2 PCIe SSD, Nvidia GeForce RTX 3060 6Go) Windows 11 Clavier Rétroéclairé AZERTY RGB 1 Zone",,4.2,34,https://www.amazon.fr/ASUS-A15-TUF506QM-HN098W-Portable-7-5800H-R%C3%A9tro%C3%A9clair%C3%A9/dp/B0B88W7J6N/ref=sr_1_17?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-17,2023-08-24 01:36:04
"ASUS Vivobook S16 S1603QA-MB521W Ordinateur Portable Gris Ecran 16"" FHD 1080p WUXGA (AMD Ryzen 5-5600H, 16G RAM, 512G SSD PCIE) Windows 11 Clavier AZERTY Français",579.99,4.2,48,https://www.amazon.fr/ASUS-Vivobook-S1603QA-MB521W-Ordinateur-Portable/dp/B0B8J28YX3/ref=sr_1_18?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-18,2023-08-24 01:36:04
"Alienware m15 R7 Intel Core i7-12700H Portable Gaming 15.6"" Full HD Dark Side of The Moon 16 Go de RAM SSD 512 Go NVIDIA GeForce RTX 3060 Win 11H Home Advanced Clavier AZERTY",1544.83,2.3,4,https://www.amazon.fr/Alienware-i7-12700H-Portable-GeForce-Advanced/dp/B0B6Y61L7X/ref=sr_1_19?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-19,2023-08-24 01:36:04
"ASUS 2022 ROG Zephyrus 3060 Gaming Laptop, 14"" FHD 144Hz, AMD 8-Core Ryzen 7 5800HS (Beat i9-10980HK), GeForce RTX 3060, 16GB RAM, 1TB PCIe SSD, USB-C, WiFi 6, Backlit, US Version KB, Win 11",1364.99,1.0,1,https://www.amazon.fr/ASUS-Zephyrus-i9-10980HK-GeForce-Backlit/dp/B0BMTSJWBJ/ref=sr_1_20?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-20,2023-08-24 01:36:05
"Alienware M15 R4 Intel Core i7-10870H Portable Gamer 15,6"" Full HD Lunar Light 144Hz 16Go de RAM SSD 512 Go NVIDIA GeForce RTX 3060 6Go GDDR6 + 16 Go DDR4 Windows 10 Home Clavier AZERTY",1879.56,4.7,4,https://www.amazon.fr/Alienware-i7-10870H-Portable-GeForce-Fran%C3%A7ais/dp/B08XZQVHNJ/ref=sr_1_21?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-21,2023-08-24 01:36:05
"Dell G15 5511 Intel Core i5-11400H Portable Gaming 15.6"" Full HD Black 8Go de RAM SSD de 256Go NVIDIA GeForce RTX 3050 Windows 11H Home Clavier AZERTY Français",899.0,4.3,243,https://www.amazon.fr/Dell-i5-11400H-Portable-GeForce-Fran%C3%A7ais/dp/B0B6Y3TY5D/ref=sr_1_22?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-22,2023-08-24 01:36:05
"Dell Inspiron 16 5620 Intel Core i7 Ordinateur Portable 16"" | Silver - 16 Go de RAM, SSD 512 Go, Intel Iris XE Graphics, Win 11 Home, Clavier AZERTY Français",849.0,4.6,8,https://www.amazon.fr/Dell-Inspiron-Ordinateur-Portable-Silver/dp/B0C2VCVNMV/ref=sr_1_23?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-23,2023-08-24 01:36:05
"Acer Nitro 5 AN515-58-74CU Ordinateur Portable Gaming 15,6'' FHD IPS 144 Hz, PC Portable Gamer (Intel Core i7-12700H, NVIDIA GeForce RTX 3060, RAM 16 Go, 1 to SSD, Windows 11) - Laptop Gaming Noir",,3.6,5,https://www.amazon.fr/Acer-AN515-58-74CU-Ordinateur-Portable-i7-12700H/dp/B081V5TBT8/ref=sr_1_24?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-24,2023-08-24 01:36:05
"Lenovo IdeaPad Gaming 3 15ARH7 - Ordinateur Portable 15.6'' FHD 120Hz (AMD Ryzen 5 7535HS, RAM 16Go, SSD 512Go, NVIDIA RTX 4050 6Go, Windows 11 Home) Clavier rétroéclairé AZERTY Français - Gris",899.99,,,https://www.amazon.fr/Lenovo-IdeaPad-Gaming-15ARH7-r%C3%A9tro%C3%A9clair%C3%A9/dp/B0C43VJG9V/ref=sr_1_25?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-25,2023-08-24 01:36:05
"ASUS ROG ZEPHYRUS-M16-GU603ZM-065W PC Portable Gamer 16'' WUXGA 165 Hz & 3ms (Intel Core i7-12700H, RTX 3060 6Go TGP 120W, 16G RAM DDR5, 512 Go SSD, Windows 11) Clavier AZERTY RGB 1 Zone",1399.99,4.2,59,https://www.amazon.fr/ASUS-ROG-ZEPHYRUS-M16-GU603ZM-065W-Portable-i7-12700H/dp/B0B8JWNT5R/ref=sr_1_26?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-26,2023-08-24 01:36:05
AWD-IT Ordinateur de Bureau Gaming - Processeur AMD Ryzen 3600 • NVIDIA RTX 3060 12 Go • RAM DDR4 16 Go • SSD 240 Go • HDD 1 to • Patriot Case • Windows 11,769.0,3.1,22,https://www.amazon.fr/Ordinateur-Bureau-AWD-Gaming-Processeur/dp/B07RWL13RK/ref=sr_1_27?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-27,2023-08-24 01:36:05
"ASUS ROG STRIX-G15-G513RM-HQ264W PC Portable Gamer 15'' 2,5k WQHD 165 Hz & 3 ms (AMD Ryzen 7-6800H, RTX 3060 6G, RAM 16Go DDR5, 512 Go SSD PCIe, Windows 11 Home) Clavier AZERTY RGB 4 Zone",1889.99,4.1,42,https://www.amazon.fr/ASUS-STRIX-G15-G513RM-HQ264W-Portable-7-6800H-Windows/dp/B09VCW5CQS/ref=sr_1_28?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-28,2023-08-24 01:36:05
"MSI Thin GF63 12VF-263FR : Intel Core i5 12450H - 16GB DDR4 - SSD 512GB - Nvidia RTX4060 8GB - 15,6' Full HD 144Hz - Windows 11 Famille- Clavier Azerty retroeclairé",999.0,,,https://www.amazon.fr/MSI-Thin-GF63-12VF-263FR-retroeclair%C3%A9/dp/B0BZJK22F1/ref=sr_1_29?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-29,2023-08-24 01:36:05
"16 Inch Big Screen Gaming Laptop Windows 11 Pro, 12th Gen Intel i7 12700H NVIDIA RTX 3060 6G, 32GB DDR4 1TB NVMe, 2.5K IPS 144Hz Notebook Gamer PC Computer, WiFi6 BT5.2, Colorful Backlit Keyboard",917.09,,,https://www.amazon.fr/Windows-Notebook-Computer-Colorful-Keyboard/dp/B0C7VZQSRL/ref=sr_1_30?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-30,2023-08-24 01:36:05
"Acer Nitro 5 Gaming Laptop, 15.6"" FHD 144Hz IPS, 12th Gen Intel 12-Core i5-12500H, GeForce RTX 3060 140W, 32GB RAM, 1TB PCIe SSD+2TB HDD, VR Ready, TB4, WiFi6, 4-Zone RGB, US Version KB, Win 11",1434.99,5.0,1,https://www.amazon.fr/Acer-12-Core-i5-12500H-GeForce-Version/dp/B0BWHGM16W/ref=sr_1_31?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-31,2023-08-24 01:36:05
"Lenovo IdeaPad Gaming 3 15IAH7 - Ordinateur Portable 15.6'' FHD 120Hz (Intel Core i5-12450H, RAM 8Go, SSD 512Go, NVIDIA RTX 3050 4Go, Sans Système d'Exploitation) Clavier rétroéclairé AZERTY FR - Gris",699.99,,,https://www.amazon.fr/Lenovo-IdeaPad-Gaming-15IAH7-dExploitation/dp/B0C43SN9BF/ref=sr_1_32?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-32,2023-08-24 01:36:06
"MICROTECH, Modèle CB15B/512W1AV, CoreBook i7-1065G7-16GB - 512GB SSD, écran de 15,6"" et Windows 11 Home",879.2,,,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTozNDY4NTc5MTgxMzE3NTk5OjE2OTI4MzM3NTc6c3BfbXRmOjMwMDAzMTUyMzY3NDIzMjo6MDo6&url=%2FMICROTECH-CB15B-512W1AV-CoreBook-i7-1065G7-16GB%2Fdp%2FB0BPCKC6GP%2Fref%3Dsr_1_33_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D1ZCIO8Q4F9QOD%26keywords%3DLaptop%2BRTX%2B3060%26qid%3D1692833757%26sprefix%3Dlaptop%2Brtx%2B3060%252Caps%252C72%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2023-08-24 01:36:06
"MICROTECH, Modèle CB17/1TBW1AV, CoreBook Intel Core i7-1065G7-16GB - 1TB SSD, écran de 17,3"" et Windows 11 Home",1044.03,5.0,1,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTozNDY4NTc5MTgxMzE3NTk5OjE2OTI4MzM3NTc6c3BfbXRmOjMwMDAzMTUyMzY3NDQzMjo6MDo6&url=%2FMICROTECH-CB17-1TBW1AV-CoreBook-i7-1065G7-16GB%2Fdp%2FB0BPCNY51Q%2Fref%3Dsr_1_34_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D1ZCIO8Q4F9QOD%26keywords%3DLaptop%2BRTX%2B3060%26qid%3D1692833757%26sprefix%3Dlaptop%2Brtx%2B3060%252Caps%252C72%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2023-08-24 01:36:06
"15,6 Pouces Ordinateur Portable, 16Go RAM 512Go SSD (Extensible 2To), Windows 11 Intel Celeron N5105 CPU(2,0-2,9 GHz) Laptop, 1920 x 1080 FHD Écran Notebook, Clavier éclairé, 200 W Pixels Webcam",379.0,4.1,32,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTozNDY4NTc5MTgxMzE3NTk5OjE2OTI4MzM3NTc6c3BfbXRmOjIwMTU2NjM3OTc5MDk4OjowOjo&url=%2FOrdinateur-Portable-Extensible-N5105-Notebook%2Fdp%2FB0B8GSVQQJ%2Fref%3Dsr_1_35_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D1ZCIO8Q4F9QOD%26keywords%3DLaptop%2BRTX%2B3060%26qid%3D1692833757%26sprefix%3Dlaptop%2Brtx%2B3060%252Caps%252C72%26sr%3D8-35-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2023-08-24 01:36:06
"Dell XPS 13 Plus 9320 Intel Core i7-1260P Ordinateur Portable 13.4"" Full HD Silver 16Go de RAM SSD 512Go Intel Iris XE - UMA Graphics Win 11 Home Plus Clavier AZERTY Français",1834.63,3.8,50,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTozNDY4NTc5MTgxMzE3NTk5OjE2OTI4MzM3NTc6c3BfbXRmOjIwMTI4OTE1MzAwMjk4OjowOjo&url=%2FDell-i7-1260P-Ordinateur-Portable-Silver%2Fdp%2FB0B6YJ7FXK%2Fref%3Dsr_1_36_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D1ZCIO8Q4F9QOD%26keywords%3DLaptop%2BRTX%2B3060%26qid%3D1692833757%26sprefix%3Dlaptop%2Brtx%2B3060%252Caps%252C72%26sr%3D8-36-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,2023-08-24 01:36:06
"Razer Blade 15 Advanced Model - PC Portable Gaming 15.6, QHD 240Hz - i7 - NVIDIA GeForce RTX 3060, 16GB DDR5, 1TB - Clavier AZERTY - Chroma RGB",,3.9,4,https://www.amazon.fr/Razer-Blade-15-Advanced-Model/dp/B09Q6D1134/ref=sr_1_37?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-37,2023-08-24 01:36:06
"Razer Ordinateur Portable Blade 17,3'' - Ecran QHD 240 - Intel I7 12800 H RTX 3060 TDP 130 W - 16 GB DDR5 4800 MHz - 1 TB NVME PCIE 4.0 - Clavier azerty RGB à la Touche - Windows 11",,,,https://www.amazon.fr/Razer-Ordinateur-Portable-Blade-17/dp/B0BS3YVKNV/ref=sr_1_38?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-38,2023-08-24 01:36:06
"HP Pavilion 15-eg2000sf PC Portable 15.6"" FHD (Intel Core i5-1235U, RAM 16 Go, SSD 512 Go, AZERTY, Windows 11 Famille en Mode S) Argent naturel - Jusqu'à 100€ remboursés",699.0,4.3,61,https://www.amazon.fr/HP-Pavilion-15-eg2000sf-Portable-i5-1235U/dp/B0BB37LMJZ/ref=sr_1_39?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-39,2023-08-24 01:36:06
"Acer Nitro 5 AN515-58-54PH Ordinateur Portable Gaming 15,6'' Full HD IPS 144 Hz, PC Portable Gamer (Intel Core i5-12450H, NVIDIA GeForce RTX 4060, RAM 16 Go, 512 Go SSD, Windows 11) - pc gaming Noir",1199.99,4.1,11,https://www.amazon.fr/Acer-AN515-58-54PH-Ordinateur-Portable-i5-12450H/dp/B0C1KPKNGF/ref=sr_1_40?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-40,2023-08-24 01:36:06
"Victus by HP 16-d0007sf PC Portable Gaming 16,1"" FHD IPS (Intel Core i5-11400H, RAM 16 Go, SSD 512 Go, NVIDIA GeForce RTX 3050, AZERTY, Windows 10 éligible à Windows 11)",,4.3,88,https://www.amazon.fr/HP-16-d0007sf-i5-11xxx-GeForce-Windows/dp/B09793RCGH/ref=sr_1_41?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCIO8Q4F9QOD&keywords=Laptop+RTX+3060&qid=1692833757&sprefix=laptop+rtx+3060%2Caps%2C72&sr=8-41,2023-08-24 01:36:06
